iter	Passed	Remaining
0	1	260
1	2	232
2	3	221
3	4	215
4	6	212
5	7	209
6	8	208
7	9	206
8	10	207
9	12	204
10	13	201
11	14	198
12	15	198
13	16	192
14	17	191
15	18	189
16	19	188
17	20	186
18	21	184
19	22	183
20	24	182
21	25	180
22	26	178
23	27	177
24	28	176
25	29	174
26	30	173
27	31	172
28	32	170
29	34	170
30	35	169
31	36	168
32	37	167
33	38	166
34	39	165
35	41	164
36	42	163
37	43	161
38	44	159
39	45	159
40	46	158
41	47	157
42	48	156
43	50	154
44	51	153
45	52	152
46	53	152
47	54	150
48	55	149
49	57	148
50	58	147
51	59	146
52	60	145
53	61	143
54	62	142
55	63	141
56	65	140
57	66	139
58	67	138
59	68	137
60	69	136
61	71	135
62	72	134
63	73	133
64	74	132
65	75	130
66	76	129
67	77	128
68	79	127
69	80	125
70	81	124
71	82	123
72	83	122
73	84	121
74	85	120
75	86	118
76	88	117
77	89	116
78	90	115
79	91	114
80	92	112
81	93	111
82	94	110
83	95	109
84	96	107
85	97	106
86	98	105
87	99	104
88	101	103
89	102	102
90	103	101
91	104	99
92	105	98
93	106	97
94	107	96
95	108	94
96	109	93
97	110	92
98	111	91
99	112	90
100	113	88
101	114	87
102	116	86
103	117	85
104	118	84
105	119	83
106	120	82
107	121	81
108	122	80
109	123	78
110	125	77
111	126	76
112	127	75
113	128	74
114	129	73
115	130	72
116	131	70
117	132	69
118	133	68
119	134	67
120	136	66
121	137	65
122	138	64
123	139	62
124	140	61
125	141	60
126	142	59
127	143	58
128	144	57
129	145	56
130	146	54
131	148	53
132	149	52
133	150	51
134	151	50
135	152	49
136	153	48
137	154	47
138	155	45
139	156	44
140	157	43
141	159	42
142	160	41
143	161	40
144	162	39
145	163	38
146	164	36
147	165	35
148	166	34
149	167	33
150	168	32
151	170	31
152	171	30
153	172	29
154	173	28
155	174	26
156	176	25
157	177	24
158	178	23
159	179	22
160	180	21
161	181	20
162	182	19
163	183	17
164	184	16
165	186	15
166	187	14
167	188	13
168	189	12
169	190	11
170	191	10
171	193	8
172	194	7
173	195	6
174	196	5
175	197	4
176	198	3
177	199	2
178	200	1
179	201	0
